metric_abbr,metric_display
podium_assess,Podium - Assessment
podium_assess_detail,Podium - Assessment: Student Detail
podium_attendance,Podium - Attendance
podium_behavior,Podium - Behavior
podium_chron_abs,Podium - Chronic Absenteeism
podium_course_grades,Podium - Student Grades
podium_enroll,Podium - Enrollment
podium_profile,Podium - Profile
podium_profile_section,Podium - Section Profile
podium_profile_student,Podium - Student Profile
rally_assess,Rally - Assessment
rally_attendance,Rally - Attendance
rally_behavior,Rally - Behavior
rally_grades,Rally - Grades